Date,Account,Category,Subcategory,Note,Income/Expense,Amount,Currency,Account
3/2/22 10:11,CUB - online payment,Food,,Brownie,Expense,50,INR,50
3/2/22 10:11,CUB - online payment,Other,,To lended people,Expense,300,INR,300
3/1/22 19:50,CUB - online payment,Food,,Dinner,Expense,78,INR,78
3/1/22 18:56,CUB - online payment,Transportation,,Metro,Expense,30,INR,30
3/1/22 18:22,CUB - online payment,Food,,Snacks,Expense,67,INR,67
3/1/22 18:22,CUB - online payment,Other,,From vicky,Income,100,INR,100
3/1/22 18:21,CUB - online payment,Other,,From dad,Income,500,INR,500
2/28/22 11:56,CUB - online payment,Food,,Pizza,Expense,339.15,INR,339.15
2/28/22 11:45,CUB - online payment,Other,,From kumara,Income,200,INR,200
2/27/22 15:29,CUB - online payment,Food,,Lunch,Expense,243,INR,243
2/26/22 20:16,CUB - online payment,Food,,,Expense,25,INR,25
2/26/22 17:37,CUB - online payment,Other,,From dad,Income,1500,INR,1500
2/26/22 17:37,CUB - online payment,Other,,To karthi,Expense,100,INR,100
2/26/22 16:01,CUB - online payment,Social Life,,,Expense,1700,INR,1700
2/26/22 14:07,CUB - online payment,Food,,Snacks,Expense,40,INR,40
2/26/22 1:39,CUB - online payment,Food,,Tea lights,Expense,84,INR,84
2/25/22 12:08,CUB - online payment,Food,,,Expense,33,INR,33
2/24/22 22:32,CUB - online payment,Household,,,Expense,303,INR,303
2/24/22 22:21,CUB - online payment,Food,,Creamstone,Expense,289,INR,289
2/24/22 19:15,CUB - online payment,Food,,Tamen,Expense,324.7,INR,324.7
2/23/22 17:35,CUB - online payment,Apparel,,Hoodie for gobi,Expense,399,INR,399
2/23/22 16:06,CUB - online payment,Food,,Eggs,Expense,83,INR,83
2/23/22 12:38,CUB - online payment,Apparel,,Earphone,Expense,399,INR,399
2/22/22 6:33,CUB - online payment,Transportation,,Auto to laxmi mills,Expense,120,INR,120
2/21/22 22:15,CUB - online payment,Transportation,,It better be worth it,Expense,1300,INR,1300
2/21/22 16:06,CUB - online payment,Transportation,,Travel to koyambedu,Expense,138,INR,138
2/21/22 15:40,CUB - online payment,Household,,Stuffs,Expense,336,INR,336
